date,dangerous weapons
2010-01-01,1484.0
2010-02-01,1211.0
2010-03-01,1430.0
2010-04-01,1513.0
2010-05-01,1387.0
2010-06-01,1300.0
2010-07-01,1341.0
2010-08-01,1417.0
2010-09-01,1319.0
2010-10-01,1452.0
2010-11-01,1221.0
2010-12-01,997.0
2011-01-01,1338.0
2011-02-01,1393.0
2011-03-01,1453.0
2011-04-01,1421.0
2011-05-01,1342.0
2011-06-01,1329.0
2011-07-01,1318.0
2011-08-01,1182.0
2011-09-01,1208.0
2011-10-01,1252.0
2011-11-01,1220.0
2011-12-01,1263.0
2012-01-01,1355.0
2012-02-01,1260.0
2012-03-01,1330.0
2012-04-01,1146.0
2012-05-01,1260.0
2012-06-01,1033.0
2012-07-01,1177.0
2012-08-01,1248.0
2012-09-01,1136.0
2012-10-01,1213.0
2012-11-01,956.0
2012-12-01,1025.0
2013-01-01,1314.0
2013-02-01,1154.0
2013-03-01,1271.0
2013-04-01,1209.0
2013-05-01,1376.0
2013-06-01,1073.0
2013-07-01,1120.0
2013-08-01,1151.0
2013-09-01,1055.0
2013-10-01,1139.0
2013-11-01,1040.0
2013-12-01,870.0
2014-01-01,1074.0
2014-02-01,957.0
2014-03-01,1112.0
2014-04-01,1048.0
2014-05-01,1206.0
2014-06-01,1126.0
2014-07-01,1166.0
2014-08-01,1153.0
2014-09-01,1024.0
2014-10-01,1154.0
2014-11-01,959.0
2014-12-01,567.0
2015-01-01,941.0
2015-02-01,847.0
2015-03-01,1014.0
2015-04-01,1015.0
2015-05-01,1025.0
2015-06-01,1059.0
2015-07-01,1111.0
2015-08-01,1124.0
2015-09-01,1039.0
2015-10-01,1124.0
2015-11-01,935.0
2015-12-01,816.0
2016-01-01,962.0
2016-02-01,1004.0
2016-03-01,1216.0
2016-04-01,1224.0
2016-05-01,1116.0
2016-06-01,1013.0
2016-07-01,868.0
2016-08-01,1010.0
2016-09-01,1021.0
2016-10-01,1002.0
2016-11-01,873.0
2016-12-01,928.0
2017-01-01,885.0
2017-02-01,794.0
2017-03-01,911.0
2017-04-01,896.0
2017-05-01,908.0
2017-06-01,882.0
2017-07-01,874.0
2017-08-01,862.0
2017-09-01,857.0
2017-10-01,927.0
2017-11-01,816.0
2017-12-01,730.0
2018-01-01,841.0
2018-02-01,771.0
2018-03-01,823.0
2018-04-01,783.0
2018-05-01,867.0
2018-06-01,717.0
2018-07-01,840.0
2018-08-01,883.0
2018-09-01,726.0
2018-10-01,698.0
2018-11-01,669.0
2018-12-01,663.0
2019-01-01,834.0
2019-02-01,735.0
2019-03-01,802.0
2019-04-01,704.0
2019-05-01,776.0
2019-06-01,570.0
2019-07-01,642.0
2019-08-01,650.0
2019-09-01,546.0
2019-10-01,504.0
2019-11-01,468.0
2019-12-01,363.0
2020-01-01,578.0
2020-02-01,489.0
2020-03-01,491.0
2020-04-01,410.0
2020-05-01,685.0
2020-06-01,305.0
2020-07-01,246.0
2020-08-01,464.0
2020-09-01,812.0
2020-10-01,697.0
2020-11-01,669.0
2020-12-01,628.0
2021-01-01,691.0
2021-02-01,577.0
2021-03-01,701.0
2021-04-01,389.0
2021-05-01,504.0
2021-06-01,563.0
2021-07-01,633.0
2021-08-01,574.0
2021-09-01,611.0
2021-10-01,628.0
2021-11-01,504.0
2021-12-01,555.0
2022-01-01,565.0
2022-02-01,584.0
2022-03-01,639.0
2022-04-01,640.0
2022-05-01,731.0
2022-06-01,580.0
2022-07-01,647.0
2022-08-01,656.0
2022-09-01,720.0
2022-10-01,729.0
2022-11-01,641.0
2022-12-01,570.0
