date,petit larceny
2010-01-01,682.0
2010-02-01,449.0
2010-03-01,641.0
2010-04-01,613.0
2010-05-01,645.0
2010-06-01,623.0
2010-07-01,661.0
2010-08-01,650.0
2010-09-01,657.0
2010-10-01,699.0
2010-11-01,703.0
2010-12-01,706.0
2011-01-01,674.0
2011-02-01,674.0
2011-03-01,761.0
2011-04-01,652.0
2011-05-01,735.0
2011-06-01,738.0
2011-07-01,795.0
2011-08-01,710.0
2011-09-01,676.0
2011-10-01,725.0
2011-11-01,771.0
2011-12-01,703.0
2012-01-01,642.0
2012-02-01,603.0
2012-03-01,695.0
2012-04-01,640.0
2012-05-01,779.0
2012-06-01,710.0
2012-07-01,628.0
2012-08-01,704.0
2012-09-01,655.0
2012-10-01,638.0
2012-11-01,584.0
2012-12-01,615.0
2013-01-01,610.0
2013-02-01,546.0
2013-03-01,659.0
2013-04-01,666.0
2013-05-01,741.0
2013-06-01,681.0
2013-07-01,704.0
2013-08-01,703.0
2013-09-01,696.0
2013-10-01,1822.0
2013-11-01,1965.0
2013-12-01,2050.0
2014-01-01,1936.0
2014-02-01,1787.0
2014-03-01,2010.0
2014-04-01,2014.0
2014-05-01,2306.0
2014-06-01,2231.0
2014-07-01,2254.0
2014-08-01,2302.0
2014-09-01,2257.0
2014-10-01,2347.0
2014-11-01,2102.0
2014-12-01,1937.0
2015-01-01,1783.0
2015-02-01,1768.0
2015-03-01,2068.0
2015-04-01,2218.0
2015-05-01,2283.0
2015-06-01,2189.0
2015-07-01,2117.0
2015-08-01,2065.0
2015-09-01,1941.0
2015-10-01,2093.0
2015-11-01,1976.0
2015-12-01,1891.0
2016-01-01,1812.0
2016-02-01,1809.0
2016-03-01,1928.0
2016-04-01,1911.0
2016-05-01,1963.0
2016-06-01,1907.0
2016-07-01,1871.0
2016-08-01,1946.0
2016-09-01,1896.0
2016-10-01,1877.0
2016-11-01,1757.0
2016-12-01,1849.0
2017-01-01,1859.0
2017-02-01,1530.0
2017-03-01,1782.0
2017-04-01,1715.0
2017-05-01,1987.0
2017-06-01,1770.0
2017-07-01,1916.0
2017-08-01,1940.0
2017-09-01,1736.0
2017-10-01,1814.0
2017-11-01,1802.0
2017-12-01,1832.0
2018-01-01,1843.0
2018-02-01,1765.0
2018-03-01,1856.0
2018-04-01,1843.0
2018-05-01,1930.0
2018-06-01,1824.0
2018-07-01,1917.0
2018-08-01,2044.0
2018-09-01,1726.0
2018-10-01,1780.0
2018-11-01,1774.0
2018-12-01,1904.0
2019-01-01,1811.0
2019-02-01,1728.0
2019-03-01,1678.0
2019-04-01,1740.0
2019-05-01,1926.0
2019-06-01,1797.0
2019-07-01,1907.0
2019-08-01,1751.0
2019-09-01,1699.0
2019-10-01,1727.0
2019-11-01,1452.0
2019-12-01,1439.0
2020-01-01,1430.0
2020-02-01,1400.0
2020-03-01,1160.0
2020-04-01,733.0
2020-05-01,991.0
2020-06-01,446.0
2020-07-01,475.0
2020-08-01,671.0
2020-09-01,801.0
2020-10-01,827.0
2020-11-01,925.0
2020-12-01,959.0
2021-01-01,919.0
2021-02-01,850.0
2021-03-01,992.0
2021-04-01,792.0
2021-05-01,886.0
2021-06-01,1022.0
2021-07-01,1074.0
2021-08-01,1060.0
2021-09-01,1155.0
2021-10-01,1391.0
2021-11-01,1216.0
2021-12-01,1275.0
2022-01-01,1212.0
2022-02-01,1484.0
2022-03-01,1898.0
2022-04-01,1683.0
2022-05-01,1617.0
2022-06-01,1678.0
2022-07-01,1721.0
2022-08-01,1809.0
2022-09-01,1654.0
2022-10-01,1765.0
2022-11-01,1754.0
2022-12-01,1616.0
