date,vehicle and traffic laws
2010-01-01,589.0
2010-02-01,561.0
2010-03-01,610.0
2010-04-01,502.0
2010-05-01,515.0
2010-06-01,481.0
2010-07-01,453.0
2010-08-01,407.0
2010-09-01,417.0
2010-10-01,435.0
2010-11-01,444.0
2010-12-01,391.0
2011-01-01,415.0
2011-02-01,477.0
2011-03-01,513.0
2011-04-01,441.0
2011-05-01,440.0
2011-06-01,352.0
2011-07-01,340.0
2011-08-01,347.0
2011-09-01,355.0
2011-10-01,1026.0
2011-11-01,1257.0
2011-12-01,1271.0
2012-01-01,1775.0
2012-02-01,1675.0
2012-03-01,2015.0
2012-04-01,1524.0
2012-05-01,1455.0
2012-06-01,1329.0
2012-07-01,1289.0
2012-08-01,1472.0
2012-09-01,1374.0
2012-10-01,1484.0
2012-11-01,1023.0
2012-12-01,1324.0
2013-01-01,1794.0
2013-02-01,1800.0
2013-03-01,1979.0
2013-04-01,1904.0
2013-05-01,1876.0
2013-06-01,1596.0
2013-07-01,1594.0
2013-08-01,1814.0
2013-09-01,1888.0
2013-10-01,1988.0
2013-11-01,1830.0
2013-12-01,1693.0
2014-01-01,2250.0
2014-02-01,2173.0
2014-03-01,2545.0
2014-04-01,2230.0
2014-05-01,2032.0
2014-06-01,1923.0
2014-07-01,1913.0
2014-08-01,1761.0
2014-09-01,1670.0
2014-10-01,2034.0
2014-11-01,1890.0
2014-12-01,992.0
2015-01-01,1437.0
2015-02-01,1881.0
2015-03-01,1994.0
2015-04-01,1674.0
2015-05-01,1369.0
2015-06-01,1380.0
2015-07-01,1261.0
2015-08-01,1362.0
2015-09-01,1263.0
2015-10-01,1470.0
2015-11-01,1238.0
2015-12-01,1268.0
2016-01-01,1575.0
2016-02-01,1730.0
2016-03-01,1787.0
2016-04-01,1466.0
2016-05-01,1552.0
2016-06-01,1435.0
2016-07-01,1278.0
2016-08-01,1499.0
2016-09-01,1348.0
2016-10-01,1673.0
2016-11-01,1538.0
2016-12-01,1528.0
2017-01-01,1772.0
2017-02-01,1790.0
2017-03-01,1949.0
2017-04-01,1732.0
2017-05-01,1618.0
2017-06-01,1383.0
2017-07-01,1413.0
2017-08-01,1367.0
2017-09-01,1404.0
2017-10-01,1582.0
2017-11-01,1840.0
2017-12-01,1547.0
2018-01-01,2138.0
2018-02-01,1849.0
2018-03-01,1909.0
2018-04-01,1597.0
2018-05-01,1558.0
2018-06-01,1335.0
2018-07-01,1395.0
2018-08-01,1394.0
2018-09-01,1174.0
2018-10-01,1299.0
2018-11-01,1196.0
2018-12-01,1196.0
2019-01-01,1588.0
2019-02-01,1394.0
2019-03-01,1495.0
2019-04-01,1341.0
2019-05-01,1257.0
2019-06-01,1008.0
2019-07-01,1059.0
2019-08-01,902.0
2019-09-01,761.0
2019-10-01,859.0
2019-11-01,943.0
2019-12-01,722.0
2020-01-01,810.0
2020-02-01,962.0
2020-03-01,581.0
2020-04-01,120.0
2020-05-01,311.0
2020-06-01,87.0
2020-07-01,95.0
2020-08-01,131.0
2020-09-01,178.0
2020-10-01,294.0
2020-11-01,321.0
2020-12-01,332.0
2021-01-01,482.0
2021-02-01,413.0
2021-03-01,487.0
2021-04-01,316.0
2021-05-01,368.0
2021-06-01,332.0
2021-07-01,329.0
2021-08-01,454.0
2021-09-01,349.0
2021-10-01,405.0
2021-11-01,381.0
2021-12-01,339.0
2022-01-01,351.0
2022-02-01,366.0
2022-03-01,489.0
2022-04-01,444.0
2022-05-01,476.0
2022-06-01,401.0
2022-07-01,414.0
2022-08-01,490.0
2022-09-01,548.0
2022-10-01,658.0
2022-11-01,888.0
2022-12-01,744.0
